"menuID","menuName","menuDisplayName","menuDescription","categoryID","categoryName","categoryDisplayName","categoryDescription","dishID","dishName","dishPrice","dishType","dishDescription","displayName","printName","tags","isCDNImage","imageCDNID","imageCDNFilename","imageExternalURL"
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","86bdf78f","Aloo Tikki Chaat",22,"standard","Halal. Nut free. Skillet potato served, stuffed with crunchy lentils and coriander. Served with yoghurt, tamarind and mint chutneys. (Hot and Cold).  Popular","",,"Gluten Free~Vegetarian","TRUE","b2d918d2-ff4c-4709-bde2-02f3291eea64","medium-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","30507e04","Chole Bhature",20,"standard","Halal. Made with Delhi's staple, spice braised whole chickpeas garnished, ginger and onions. Served with a bhatura and achar.  Halal and Nut Free","",,"Vegetarian","FALSE","","",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","846bc3a9","Meen Moilee",36,"standard","Nut free. Lightly battered fish cooked in a coconut broth with curry leaves and turmeric. Served with mushrooms and chilli oil.  Dairy Free, Nut Free, and Spicy","",,"Dairy Free~Gluten Free","FALSE","","",""
"4be2e25c","Menu","","","9bf562f6","Flatbreads","","","793a0f51","Spiced Chicken",13.5,"standard","Halal. Made with roast chicken, onion, dried mango and curry leaves.","",,"","TRUE","81372d33-bc01-4384-afeb-9b43bb570cf9","flatbreads-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","9bf562f6","Flatbreads","","","bbad25f3","Banaras Lamb",16,"standard","Halal. Braised lambs mince, red onion, fenugreek, green peas and coriander.","",,"","TRUE","9e749bef-27d5-470e-9283-175944389a54","flatbreads-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","9bf562f6","Flatbreads","","","f2fb5e1c","Achari Paneer",13.5,"standard","Made with pickled paneer, red onions, dry mango and chaat masala.","",,"Vegetarian","TRUE","181ad1ba-5b16-4ee6-8db7-032a37aa326f","flatbreads-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","7d4368e1","Fries","","","b3a8ede7","Fries",14,"standard","Halal. Kala masala dusted twice cooked potatoes with achar mayonnaise.  Dairy Free, Halal, and Nut Free","",,"","TRUE","bf4e6c11-3473-436d-9768-c96b723c9b8f","fries-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","e127023c","Dessert","","","90febff0","Kesar Kulfi",15,"standard","Halal. Indian ice cream reduced saffron milk with ground almonds. Halal","",,"Gluten Free~Vegetarian","TRUE","fa0adc4a-ccee-471b-bf84-c46fdbaadd73","dessert-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","e127023c","Dessert","","","dd0a6250","Serra Durra",15,"standard","Nut free. Goan Portuguese reduced condensed milk mousse with biscuit saw dust and berry coulis. Popular","",,"Vegetarian","FALSE","","",""
"4be2e25c","Menu","","","557d6dd0","Street Drinks","","","f0654e72","Chai and Biscuit",6.5,"standard","Strong black tea served with a crunchy biscuit.","",,"","FALSE","","",""
"4be2e25c","Menu","","","557d6dd0","Street Drinks","","","ec9834ad","Badam Milk",13,"standard","Almond-flavoured milk drink.","",,"","FALSE","","",""
"4be2e25c","Menu","","","00692475","Non Alcoholics","","","814ea3bf","Thums Up Cola, India",9,"standard","","",,"","FALSE","","",""
"4be2e25c","Menu","","","00692475","Non Alcoholics","","","c5f801b0","Limca Lemonade, India",9,"standard","","",,"","FALSE","","",""
"4be2e25c","Menu","","","00692475","Non Alcoholics","","","9690203d","Phoenix, New Zealand",8,"standard","","",,"","FALSE","","",""
"4be2e25c","Menu","","","00692475","Non Alcoholics","","","a76a8f50","Juices",8,"standard","","",,"","FALSE","","",""
"4be2e25c","Menu","","","b3759b6d","Mocktails","","","2b501fca","Masala Grape Lemonade",16,"standard","Made with roasted cumin, pepper, mint and tonic.","",,"","FALSE","","",""
"4be2e25c","Menu","","","b3759b6d","Mocktails","","","dd8ecba0","Tropical Punch",14.5,"standard","Made with Peach tea, Mango and Apple","",,"","FALSE","","",""
"4be2e25c","Menu","","","b3759b6d","Mocktails","","","8157c2ec","Virgin Bloody Rupa",14.5,"standard","Made with coriander, tomato juice, Tabasco, lemon and chaat masala.","",,"","FALSE","","",""
"4be2e25c","Menu","","","b3759b6d","Mocktails","","","81ecfa2c","Nimbu Pani",14.5,"standard","Made with roasted cumin, black salt, lemon and soda.","",,"","FALSE","","",""
